index,weekday,mood,activities,datetime,date,small meal,ate in,sport,teaching,flight,cleaning,labour,Thảo,went out,left the house,ate out,music,online shopping,Up too late,drinking,shower,animals,Medical,walk,gaming,TV,YouTube,massage,holiday,hungover,Extreme,commute,acquaintances,browsing,groceries,bed too late,lesson,Vietnamese,Climbing,cinema,mental task,Meal,sex,cooking,home dinner,Irish,editing,Bed on time,Dessert,cycling,wanking,N2O,MD,train,stayed in,family,social media,soccer,Up on time,driving,journal,podcasts,friends,museum,acid,strangers,weed,reading,snacking,boardgames,sick,fine dining,photography,fast food,studying,relax,bus,guitar,coke,karaoke,Workout,time,rank,diff,newtime
2020-02-20 15:27:00,Thursday,4,"['photography', 'left the house', 'family', 'walk']",2020-02-20 15:27:00,2020-02-20,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,15:27:00,2.0,0 days 05:12:00.000000000,2020-02-20 12:51:00
2020-02-20 10:15:00,Thursday,3,"['small meal', 'Thảo', 'browsing', 'mental task', 'Up too late', 'shower']",2020-02-20 10:15:00,2020-02-20,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:15:00,1.0,0 days 10:49:00.000000000,4
2020-02-19 23:26:00,Wednesday,4,"['home dinner', 'Dessert', 'Thảo', 'TV', 'Bed on time']",2020-02-19 23:26:00,2020-02-19,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23:26:00,4.0,0 days 03:56:00.000000000,2020-02-19 21:28:00
2020-02-19 19:30:00,Wednesday,3,"['left the house', 'Thảo', 'strangers', 'mental task', 'walk']",2020-02-19 19:30:00,2020-02-19,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19:30:00,3.0,0 days 05:51:00.000000000,2020-02-19 16:34:30
2020-02-19 13:39:00,Wednesday,4,"['small meal', 'stayed in', 'Thảo', 'TV', 'mental task']",2020-02-19 13:39:00,2020-02-19,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13:39:00,2.0,0 days 04:37:00.000000000,2020-02-19 11:20:30
2020-02-19 09:02:00,Wednesday,3,"['browsing', 'Up too late', 'shower']",2020-02-19 09:02:00,2020-02-19,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,09:02:00,1.0,0 days 10:25:00.000000000,4
2020-02-18 22:37:00,Tuesday,2,"['home dinner', 'Dessert', 'guitar', 'Thảo', 'TV', 'gaming', 'Bed on time']",2020-02-18 22:37:00,2020-02-18,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,22:37:00,4.0,0 days 04:26:00.000000000,2020-02-18 20:24:00
2020-02-18 18:11:00,Tuesday,3,"['snacking', 'wanking', 'left the house', 'sex', 'Thảo', 'strangers', 'mental task', 'walk']",2020-02-18 18:11:00,2020-02-18,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18:11:00,3.0,0 days 05:02:00.000000000,2020-02-18 15:40:00
2020-02-18 13:09:00,Tuesday,3,"['fine dining', 'left the house', 'family', 'strangers', 'walk']",2020-02-18 13:09:00,2020-02-18,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,13:09:00,2.0,0 days 04:11:00.000000000,2020-02-18 11:03:30
2020-02-18 08:58:00,Tuesday,3,"['small meal', 'browsing', 'Up too late', 'shower']",2020-02-18 08:58:00,2020-02-18,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,08:58:00,1.0,0 days 10:01:00.000000000,4
2020-02-17 22:57:00,Monday,3,"['cooking', 'home dinner', 'Thảo', 'TV', 'gaming', 'Bed on time']",2020-02-17 22:57:00,2020-02-17,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22:57:00,4.0,0 days 04:47:00.000000000,2020-02-17 20:33:30
2020-02-17 18:10:00,Monday,3,"['snacking', 'guitar', 'left the house', 'strangers', 'groceries', 'walk']",2020-02-17 18:10:00,2020-02-17,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,18:10:00,3.0,0 days 04:37:00.000000000,2020-02-17 15:51:30
2020-02-17 13:33:00,Monday,3,"['snacking', 'Dessert', 'photography', 'stayed in']",2020-02-17 13:33:00,2020-02-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,13:33:00,2.0,0 days 03:45:00.000000000,2020-02-17 11:40:30
2020-02-17 09:48:00,Monday,3,"['small meal', 'Thảo', 'browsing', 'Up too late', 'shower']",2020-02-17 09:48:00,2020-02-17,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,09:48:00,1.0,0 days 11:48:00.000000000,4
